ID,basionymID,scientificName,authorship,rank,uninomial,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,referenceID,publishedInPage,publishedInYear,code,status,remarks,link
306,306,Orneodes sertifera,"Meyrick, 1921",species,,Orneodes,,sertifera,,62,406,1921,ICZN,established,,https://www.biodiversitylibrary.org/page/9808824
307,314,Alucita seychellensis,"(Fletcher, 1910)",species,,Alucita,,seychellensis,,,,,ICZN,established,,
308,311,Alucita granata,"(Meyrick, 1921)",species,,Alucita,,granata,,,,,ICZN,established,,
309,315,Alucita loxoschista,"(Meyrick, 1931)",species,,Alucita,,loxoschista,,,,,ICZN,established,,
310,312,Alucita megaphimus,"(Hering, 1917)",species,,Alucita,,megaphimus,,,,,ICZN,established,,
311,311,Orneodes granata,"Meyrick, 1921",species,,Orneodes,,granata,,61,108,1921,ICZN,established,,
312,312,Orneodes megaphimus,"Hering, 1917",species,,Orneodes,,megaphimus,,28,191,1917,ICZN,established,,
313,313,Orneodes imbrifera,"Meyrick, 1929",species,,Orneodes,,imbrifera,,66,538,1929,ICZN,established,,https://www.biodiversitylibrary.org/page/60297898
314,314,Orneodes seychellensis,"Fletcher, 1910",species,,Orneodes,,seychellensis,,18,397,1910,ICZN,established,,
315,315,Orneodes loxoschista,"Meyrick, 1931",species,,Orneodes,,loxoschista,,67,86,1931,ICZN,established,,https://www.biodiversitylibrary.org/page/60386534
